Floor,Room,Item,Description,Quantity,Unit,UnitPrice,OandP,Taxes,TotalCost,Note
3rd floor 2,Bedroom,342,Prime & Paint - Base Shoe,55.59,LF,1.41,15.68,0.13,94.19,
3rd floor 2,Bedroom,343,"Rem/Reset - Base Shoe, Paint Grade",55.59,LF,2.86,31.80,0.23,191.02,
3rd floor 2,Bedroom,344,"Tear Out - Wood Floor, Oak, 2-1/4"", #1 Common",208.00,SF,1.77,73.64,0.00,441.80,
3rd floor 2,Bedroom,345,"Replace - Wood Floor, Oak, 2-1/4"", #1 Common",228.80,SF,12.06,551.86,65.76,3376.95,Includes 10% waste on quantity
3rd floor 2,Bedroom,346,"Tear Out - Wood Floor, Underlayment, Felt",208.00,SF,0.11,4.58,0.00,27.46,
3rd floor 2,Bedroom,347,"Replace - Wood Floor, Underlayment, Felt",228.80,SF,0.47,21.50,1.65,130.69,Includes 10% waste on quantity
3rd floor 2,Bedroom,348,Prime & Paint - Wood Floor,208.00,SF,1.29,53.66,3.74,325.72,
3rd floor 2,Bedroom,349,Prime & Paint - Drywall/Plaster Ceiling,208.00,SF,1.52,63.24,3.74,383.14,
3rd floor 2,Bedroom,350,Prime & Paint - Drywall/Plaster Wall,409.02,SF,1.37,112.08,7.36,679.80,
3rd floor 2,Bedroom,351,"Clean - Final Clean, Per SF",208.00,SF,0.52,21.64,0.62,130.42,
3rd floor 2,Bedroom,352,"Rem/Reset - Radiator, Cast Iron",1,EA,20.94,4.18,0.00,25.12,
3rd floor 2,Hallway,353,Prime & Paint - Casing,42.66,LF,1.81,15.44,0.33,92.99,
3rd floor 2,Hallway,354,"Prime & Paint - Base Molding, Up to 6""",26.17,LF,1.82,9.52,0.22,57.37,
3rd floor 2,Hallway,355,Prime & Paint - Base Shoe,26.17,LF,1.41,7.38,0.06,44.34,
3rd floor 2,Hallway,356,"Rem/Reset - Base Shoe, Paint Grade",26.17,LF,2.86,14.96,0.11,89.91,
3rd floor 2,Hallway,357,"Tear Out - Wood Floor, Oak, 2-1/4"", #1 Common",92.78,SF,1.77,32.84,0.00,197.06,
3rd floor 2,Hallway,358,"Replace - Wood Floor, Oak, 2-1/4"", #1 Common",102.06,SF,12.06,246.18,29.33,1506.36,Includes 10% waste on quantity
3rd floor 2,Hallway,359,"Tear Out - Wood Floor, Underlayment, Felt",92.78,SF,0.11,2.04,0.00,12.25,
3rd floor 2,Hallway,360,"Replace - Wood Floor, Underlayment, Felt",102.06,SF,0.47,9.60,0.74,58.31,Includes 10% waste on quantity
3rd floor 2,Hallway,361,Prime & Paint - Wood Floor,92.78,SF,1.29,23.94,1.67,145.29,
3rd floor 2,Hallway,362,Prime & Paint - Drywall/Plaster Ceiling,92.78,SF,1.52,28.20,1.67,170.89,
3rd floor 2,Hallway,363,Prime & Paint - Drywall/Plaster Wall,225.46,SF,1.37,61.78,4.06,374.72,
3rd floor 2,Hallway,364,"Clean - Final Clean, Per SF",92.78,SF,0.52,9.66,0.28,58.19,
3rd floor 2,Hallway,365,"Rem/Reset - Radiator, Cast Iron",1,EA,20.94,4.18,0.00,25.12,
3rd floor 2,Stairs (incl subrooms),366,"Clean - Final Clean, Per SF",60.95,SF,0.52,6.32,0.18,38.20,
3rd floor 2,Stairs (incl subrooms),367,"Paint, 2 Coats - Drywall/Plaster Wall",219.92,SF,1.37,60.26,3.96,365.52,
3rd floor 2,Stairs (incl subrooms),368,"Paint, 2 Coats - Drywall/Plaster Ceiling",60.95,SF,1.52,18.54,1.09,112.28,
3rd floor 2,Stairs (incl subrooms),369,"Prime & Paint - Stair Riser, 4'",14,EA,20.29,56.82,1.02,341.90,
3rd floor 2,Stairs (incl subrooms),370,Prime & Paint - Stair Stringer,14.00,LF,5.22,14.62,0.41,88.11,
3rd floor 2,Stairs (incl subrooms),371,"Prime & Paint - Stair Tread, 4'",28,EA,32.70,183.12,3.66,1102.38,
3rd floor 2,Bathroom,372,Prime & Paint - Casing,64.43,LF,1.81,23.32,0.50,140.44,
3rd floor 2,Bathroom,373,"Prime & Paint - Base Molding, Up to 6""",45.58,LF,1.82,16.60,0.38,99.93,
3rd floor 2,Bathroom,374,Prime & Paint - Base Shoe,45.58,LF,1.41,12.86,0.11,77.23,
3rd floor 2,Bathroom,375,"Rem/Reset - Base Shoe, Paint Grade",45.58,LF,2.86,26.08,0.19,156.63,
3rd floor 2,Bathroom,376,"Tear Out - Wood Floor, Oak, 2-1/4"", #1 Common",162.33,SF,1.77,57.46,0.00,344.78,
3rd floor 2,Bathroom,377,"Replace - Wood Floor, Oak, 2-1/4"", #1 Common",178.56,SF,12.06,430.68,51.32,2635.43,Includes 10% waste on quantity
3rd floor 2,Bathroom,378,"Tear Out - Wood Floor, Underlayment, Felt",162.33,SF,0.11,3.58,0.00,21.44,
3rd floor 2,Bathroom,379,"Replace - Wood Floor, Underlayment, Felt",178.56,SF,0.47,16.78,1.29,102.00,Includes 10% waste on quantity
3rd floor 2,Bathroom,380,Prime & Paint - Wood Floor,162.33,SF,1.29,41.88,2.92,254.21,
3rd floor 2,Bathroom,381,Prime & Paint - Drywall/Plaster Ceiling,180.00,SF,1.52,54.72,3.24,331.56,
3rd floor 2,Bathroom,382,Prime & Paint - Drywall/Plaster Wall,343.09,SF,1.37,94.00,6.18,570.22,
3rd floor 2,Bathroom,383,"Clean - Final Clean, Per SF",162.33,SF,0.52,16.88,0.49,101.78,
3rd floor 2,Bathroom,384,"Rem/Reset - Radiator, Cast Iron",1,EA,20.94,4.18,0.00,25.12,
3rd floor 2,Bathroom,385,"Rem/Reset - Bathtub, Cast-Iron, Good",1,EA,411.59,82.32,0.13,494.04,
3rd floor 2,Bathroom,386,"Rem/Reset - Toilet, One-Piece, Good",1,EA,258.69,51.74,0.19,310.62,
B1 2,Main Room (incl subrooms),387,"Rem/Reset - Content Manipulation, Greater Than 300 SF, Per Room",1,RM,263.43,52.68,0.00,316.11,
B1 2,Main Room (incl subrooms),388,Prime & Paint - Brick Wall,1142.11,SF,1.39,317.52,27.41,1932.47,
B1 2,Main Room (incl subrooms),389,"Tear Out - Paneling, Oak, 1/4""",128.18,SF,0.46,11.80,0.00,70.76,
B1 2,Main Room (incl subrooms),390,"Replace - Paneling, Oak, 1/4""",134.59,SF,4.85,130.56,23.50,806.83,Includes 5% waste on quantity
B1 2,Main Room (incl subrooms),391,Prime & Paint - Concrete Floor,833.82,SF,1.29,215.12,15.01,1305.76,
B1 2,Main Room (incl subrooms),392,"Prime & Paint - Paneling, Wall",118.88,SF,1.37,32.58,2.14,197.59,
B1 2,Main Room (incl subrooms),393,"Clean - Final Clean, Per SF",834.36,SF,0.52,86.78,2.51,523.15,
B1 2,Stairs (incl subrooms),394,"Clean - Final Clean, Per SF",20.85,SF,0.52,2.16,0.06,13.06,
B1 2,Stairs (incl subrooms),395,"Paint, 2 Coats - Drywall/Plaster Wall",95.32,SF,1.37,26.12,1.71,158.42,
B1 2,Stairs (incl subrooms),396,"Paint, 2 Coats - Drywall/Plaster Ceiling",20.85,SF,1.52,6.36,0.38,38.44,
B1 2,Stairs (incl subrooms),397,"Prime & Paint - Stair Riser, 4'",7,EA,20.29,28.40,0.51,170.94,
B1 2,Stairs (incl subrooms),398,Prime & Paint - Stair Stringer,7.00,LF,5.22,7.30,0.21,44.05,
B1 2,Stairs (incl subrooms),399,"Prime & Paint - Stair Tread, 4'",7,EA,32.70,45.78,0.92,275.60,
Adjustments,Minimum Charge Adjustments,400,"Minimum Charge, HVAC",1,LS,447.52,68.56,1.34,412.72,
Adjustments,Minimum Charge Adjustments,401,"Minimum Charge, Drywall, 1 Trip",1,LS,438.00,5.86,1.40,36.55,
